Classification,Region,Total,151~300,301~450,451~600,601~750,751~900,901~1050
Total,total,62,4,10,16,14,9,9,
Public,total,34,4,4,2,9,8,7,
Private,total,28,0,6,14,5,1,2,
Dong-gu,donggu,9,1,1,3,2,1,1,
Public,donggu,3,1,0,0,1,0,1,
Private,donggu,6,0,1,3,1,1,0,
Jung-gu,junggu,14,0,4,4,3,0,3,
Public,junggu,4,0,1,0,1,0,2,
Private,junggu,10,0,3,4,2,0,1,
Seo-gu,seogu,17,0,1,4,6,5,1,
Public,seogu,10,0,0,0,5,5,0,
Private,seogu,7,0,1,4,1,0,1,
Yuseong-gu,yuseonggu,17,3,3,3,3,2,3,
Public,yuseonggu,14,3,2,2,2,2,3,
Private,yuseonggu,3,0,1,1,1,0,0,
Daedeok-gu,daedeokgu,5,0,1,2,0,1,1,
Public,daedeokgu,3,0,1,0,0,1,1,
Private,daedeokgu,2,0,0,2,0,0,0
